iter	RMSE
0	0.9983048989
1	0.9982117397
2	0.9980989367
3	0.9979838706
4	0.9978905599
5	0.9977820109
6	0.99770225
7	0.9976221182
8	0.9975133876
9	0.9974010673
10	0.997300347
11	0.9972050033
12	0.997095928
13	0.9970063966
14	0.996916303
15	0.9968044239
16	0.9967240322
17	0.9966368677
18	0.996533293
19	0.9964415116
20	0.9963446574
21	0.9962721301
22	0.9961818523
23	0.9960890848
24	0.9959900614
25	0.9959219383
26	0.9957764552
27	0.9956775515
28	0.9955945096
29	0.9954955947
30	0.9953931238
31	0.9952959104
32	0.995179156
33	0.9950889996
34	0.9949776282
35	0.9948856675
36	0.9947903697
37	0.9946875289
38	0.9945923035
39	0.9945011687
40	0.9944052227
41	0.9942998309
42	0.9942260261
43	0.9941354853
44	0.9940194252
45	0.9939367093
46	0.9938635923
47	0.9937441752
48	0.9936610351
49	0.9935894704
50	0.9935167046
51	0.9934488712
52	0.9933518161
53	0.9932538305
54	0.9931528711
55	0.9930440281
56	0.9929516452
57	0.9928709013
58	0.9927996921
59	0.9927269269
60	0.9926135313
61	0.9925134925
62	0.9924274823
63	0.9923435004
64	0.9922362326
65	0.9921340704
66	0.992048067
67	0.9919575184
68	0.9918498173
69	0.9917332446
70	0.9916509185
71	0.9915704263
72	0.9914934921
73	0.9913958232
74	0.9913335056
75	0.9912316278
76	0.9911047454
77	0.991003668
78	0.9909062538
79	0.9907952097
80	0.9907201715
81	0.9906469414
82	0.9905240631
83	0.9904254751
84	0.9903145115
85	0.9902055843
86	0.9900815396
87	0.9900076759
88	0.9899339335
89	0.989874914
90	0.9897747498
91	0.9897005545
92	0.9896144021
93	0.9895151417
94	0.9893992829
95	0.9892855071
96	0.9892058858
97	0.9891302266
98	0.9890288297
99	0.9889360618
100	0.9888379643
101	0.9887312848
102	0.9886235953
103	0.9885425662
104	0.9884633788
105	0.9883674296
106	0.9882932818
107	0.9882096487
108	0.9881218605
109	0.9880344163
110	0.9879255073
111	0.9878271073
112	0.9877154347
113	0.9876082342
114	0.9875164334
115	0.9874376443
116	0.9873623511
117	0.987281803
118	0.9871940185
119	0.9871058105
120	0.9870030768
121	0.9868995968
122	0.9867982158
123	0.9867436671
124	0.9866497039
125	0.9865549209
126	0.9864606976
127	0.9863431709
128	0.9862480264
129	0.9861995441
130	0.986109021
131	0.9860304134
132	0.9859361736
133	0.9858177894
134	0.9857226484
135	0.9856235225
136	0.9855303032
137	0.985444113
138	0.9853633135
139	0.9852830599
140	0.9851892921
141	0.9850744137
142	0.9849783652
143	0.9848840865
144	0.9847950127
145	0.9847152295
146	0.9846123205
147	0.9845217021
148	0.9844485763
149	0.9843464758
150	0.9842586625
151	0.9841628511
152	0.9840660145
153	0.9839737734
154	0.9838855697
155	0.9838149889
156	0.9837437746
157	0.9836645715
158	0.9835908721
159	0.9834996297
160	0.983413486
161	0.9833185991
162	0.9832385615
163	0.9831644654
164	0.9830765055
165	0.9829499594
166	0.98286874
167	0.982758388
168	0.9826626721
169	0.9825956882
170	0.9825182809
171	0.9824526528
172	0.9823547913
173	0.9822597113
174	0.9821639839
175	0.982064989
176	0.9819817568
177	0.9818693256
178	0.9817871513
179	0.9817015284
180	0.9816339882
181	0.9815506375
182	0.9814664781
183	0.9813606545
184	0.9812666755
185	0.9811702682
186	0.9810929752
187	0.9810166603
188	0.9809134859
189	0.9808379073
190	0.9806878839
191	0.9806327195
192	0.9805314528
193	0.980450467
194	0.9803514678
195	0.980244636
196	0.9801422928
197	0.9800613673
198	0.9799609632
199	0.9798526614
