iter	Passed	Remaining
0	14	2868
1	25	2526
2	35	2331
3	48	2384
4	59	2327
5	70	2290
6	84	2325
7	96	2319
8	109	2333
9	121	2308
10	133	2293
11	148	2322
12	160	2315
13	175	2333
14	191	2363
15	203	2341
16	217	2343
17	230	2327
18	245	2336
19	257	2315
20	270	2305
21	282	2284
22	294	2263
23	305	2237
24	318	2230
25	330	2213
26	344	2205
27	356	2191
28	367	2165
29	380	2157
30	393	2146
31	407	2137
32	418	2120
33	433	2114
34	447	2109
35	461	2102
36	473	2087
37	485	2071
38	499	2062
39	514	2058
40	528	2047
41	538	2027
42	551	2013
43	564	1999
44	578	1992
45	590	1978
46	602	1960
47	616	1951
48	628	1937
49	641	1924
50	652	1907
51	666	1897
52	679	1885
53	691	1870
54	704	1857
55	716	1842
56	731	1834
57	746	1828
58	761	1820
59	774	1806
60	791	1803
61	802	1786
62	815	1773
63	828	1760
64	839	1744
65	851	1728
66	865	1717
67	879	1707
68	893	1696
69	910	1690
70	924	1679
71	936	1664
72	949	1651
73	963	1640
74	974	1624
75	986	1609
76	1002	1601
77	1014	1586
78	1027	1573
79	1040	1561
80	1052	1546
81	1065	1533
82	1081	1524
83	1096	1513
84	1110	1502
85	1124	1490
86	1136	1476
87	1151	1465
88	1165	1453
89	1178	1440
90	1192	1427
91	1205	1414
92	1218	1402
93	1233	1391
94	1247	1378
95	1260	1365
96	1272	1351
97	1285	1338
98	1300	1326
99	1312	1312
100	1325	1299
101	1337	1284
102	1348	1269
103	1362	1257
104	1375	1244
105	1387	1230
106	1400	1216
107	1412	1203
108	1426	1190
109	1440	1178
110	1453	1165
111	1466	1152
112	1479	1139
113	1492	1125
114	1506	1113
115	1518	1099
116	1533	1088
117	1547	1075
118	1560	1062
119	1575	1050
120	1587	1036
121	1599	1022
122	1611	1009
123	1624	995
124	1638	983
125	1650	969
126	1664	956
127	1679	944
128	1692	931
129	1707	919
130	1720	906
131	1734	893
132	1748	880
133	1761	867
134	1775	854
135	1790	842
136	1804	829
137	1820	817
138	1836	805
139	1853	794
140	1868	781
141	1887	771
142	1908	760
143	1926	749
144	1943	737
145	1957	724
146	1976	712
147	1990	699
148	2009	687
149	2030	676
150	2047	664
151	2062	651
152	2078	638
153	2092	624
154	2109	612
155	2122	598
156	2136	585
157	2149	571
158	2164	558
159	2179	544
160	2192	531
161	2207	517
162	2221	504
163	2236	490
164	2249	477
165	2263	463
166	2277	449
167	2289	436
168	2303	422
169	2317	408
170	2329	395
171	2342	381
172	2354	367
173	2368	353
174	2380	340
175	2394	326
176	2406	312
177	2418	298
178	2432	285
179	2444	271
180	2459	258
181	2470	244
182	2483	230
183	2496	217
184	2509	203
185	2525	190
186	2537	176
187	2549	162
188	2564	149
189	2575	135
190	2589	122
191	2600	108
192	2614	94
193	2626	81
194	2638	67
195	2653	54
196	2665	40
197	2677	27
198	2689	13
199	2702	0
